web-scraper-order,web-scraper-start-url,links,links-href,ชื่อมหาลัย,หลักสูตร,วิทยาเขต,ค่าเทอม,Portfolio,Quota,Admission,Direct Admission
"1722072451-1","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมอุตสาหการสถาบันการจัดการปัญญาภิวัฒน์ อีอีซี","https://course.mytcas.com/programs/49180201303501A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ","อีอีซี","อัตราค่าเล่าเรียน 54,000 บาท ต่อภาคเรียน หรือ 405,000 บาท ตลอดหลักสูตร ( ปีการศึกษา 2567 ทุกคนได้รับทุน 40%)","20","20","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072457-2","https://course.mytcas.com/","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›เทคโนโลยีสารสนเทศสถาบันการจัดการปัญญาภิวัฒน์ อีอีซี","https://course.mytcas.com/programs/49180201220101A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ","อีอีซี","อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)","30","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072462-3","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมปัญญาประดิษฐ์สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี","https://course.mytcas.com/programs/49180101303701A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์","แจ้งวัฒนะ นนทบุรี","อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)","30","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072467-4","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมอุตสาหการสถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี","https://course.mytcas.com/programs/49180101303501A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการและการผลิตอัจฉริยะ","แจ้งวัฒนะ นนทบุรี","อัตราค่าเล่าเรียน 54,000 บาท ต่อภาคเรียน หรือ 405,000 บาท ตลอดหลักสูตร ( ปีการศึกษา 2567 ทุกคนได้รับทุน 40%)","20","20","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072472-5","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมยานยนต์สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี","https://course.mytcas.com/programs/49180101302001A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการผลิตยานยนต์","แจ้งวัฒนะ นนทบุรี","อัตราค่าเล่าเรียน 384,000 ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.ได้)","20","","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072477-6","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมเมคคาทรอนิกส์สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี","https://course.mytcas.com/programs/49180101301901A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และระบบอัตโนมัติ","แจ้งวัฒนะ นนทบุรี","อัตราค่าเล่าเรียน 502,500 ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.ได้)","10","","10","ไม่เปิดรับสมัครในรอบนี้"
"1722072482-7","https://course.mytcas.com/","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›เทคโนโลยีสารสนเทศสถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี","https://course.mytcas.com/programs/49180101220101A","สถาบันการจัดการปัญญาภิวัฒน์","หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ","แจ้งวัฒนะ นนทบุรี","อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)","30","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072487-8","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ต่อเนื่อง ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมโยธามหาวิทยาลัยปทุมธานี","https://course.mytcas.com/programs/49110101302105L","มหาวิทยาลัยปทุมธานี","วิศวกรรมศาสตรบัณฑิต","วิทยาเขตหลัก","อัตราค่าเล่าเรียน 47,500 ต่อภาคเรียน หรือ 285,000 บาท ตลอดหลักสูตร","","","10","ไม่เปิดรับสมัครในรอบนี้"
"1722072492-9","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมโยธามหาวิทยาลัยปทุมธานี","https://course.mytcas.com/programs/49110101302104A","มหาวิทยาลัยปทุมธานี","วิศวกรรมศาสตรบัณฑิต","วิทยาเขตหลัก","อัตราค่าเล่าเรียน 46,000 ต่อภาคเรียน หรือ 368,000 บาท ตลอดหลักสูตร","","","10","ไม่เปิดรับสมัครในรอบนี้"
"1722072497-10","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์และเทคโนโลยี›วิศวกรรมไฟฟ้ามหาวิทยาลัยปทุมธานี","https://course.mytcas.com/programs/49110101301602A","มหาวิทยาลัยปทุมธานี","วิศวกรรมศาสตรบัณฑิต","วิทยาเขตหลัก","อัตราค่าเล่าเรียน 46,000 ต่อภาคเรียน หรือ 368,000 บาท ตลอดหลักสูตร","","","10","ไม่เปิดรับสมัครในรอบนี้"
